time,input,pid,output
3510,1000,424,1685
3515,1000,728,1508
3520,1000,840,1356
3525,1000,880,1260
3530,1000,899,1192
3535,1000,922,1144
3540,1000,941,1108
3545,1000,959,1079
3550,1000,971,1060
3555,1000,978,1047
3560,1000,983,1034
3565,1000,989,1028
3570,1000,992,1021
3575,1000,996,1015
3580,1000,1000,1011
3585,1000,998,1011
3590,1000,998,1008
3595,1000,1002,1005
3600,1000,1001,1005
3605,1000,1001,1005
3610,1000,995,1005
3615,1000,1001,1002
3620,1000,1005,1002
3625,1000,1005,1002
3630,1000,1002,1002
3635,1000,1002,1002
3640,1000,1002,1002
3645,1000,1002,1002
3650,1000,1005,1002
3655,1000,1005,999
3660,1000,1006,999
3665,1000,1004,1002
3670,1000,1002,1002
3675,1000,1002,1002
3680,1000,1002,1002
3685,1000,1005,1002
3690,1000,1005,1002
3695,1000,1002,1002
3700,1000,1002,999
3705,1000,1004,1002
3710,1000,1002,999
3715,1000,1004,999
3720,1000,1006,999
3725,1000,1004,999
3730,1000,1004,1002
3735,1000,1002,999
3740,1000,1004,1002
3745,1000,1002,1002
3750,1000,1002,999
3755,1000,1004,1002
3760,1000,1005,999
3765,1000,1004,1002
3770,1000,1002,999
3775,1000,1004,999
3780,1000,1004,999
3785,1000,1004,999
3790,1000,1004,999
3795,1000,1004,999
3800,1000,1004,1002
3805,1000,1002,999
3810,1000,1004,999
3815,1000,1004,999
3820,1000,1004,999
3825,1000,1002,979
3830,1000,1014,999
3835,1000,1004,1002
3840,1000,1000,1002
3845,1000,1000,1002
3850,1000,1002,1002
3855,1000,1002,999
3860,1000,1004,999
3865,1000,1006,999
3870,1000,962,999
3875,1000,1004,1011
3880,1000,1009,995
3885,1000,1010,995
3890,1000,1006,995
3895,1000,1008,999
