time,input,pid,output
4965,999,1000,999
4970,999,1000,999
4975,999,1004,995
4980,999,1003,995
4985,999,999,999
4990,999,1000,999
4995,999,1000,999
5000,1999,3004,995
5005,1999,2716,1002
5010,1999,2554,1105
5015,1999,2388,1292
5020,1999,2266,1469
5025,1999,2177,1617
5030,1999,2119,1727
5035,1999,2083,1804
5040,1999,2058,1859
5045,1999,2041,1898
5050,1999,2028,1927
5055,1999,2021,1946
5060,1999,2016,1959
5065,1999,2012,1969
5070,1999,2010,1975
5075,1999,2007,1981
5080,1999,2006,1985
5085,1999,2008,1985
5090,1999,2005,1988
5095,1999,2003,1991
5100,1999,2002,1994
5105,1999,2002,1994
5110,1999,2003,1994
5115,1999,2003,1994
5120,1999,2003,1994
5125,1999,2004,1994
5130,1999,2004,1994
5135,1999,2000,1998
5140,1999,2001,1998
5145,1999,2001,1998
5150,1999,2001,1998
5155,1999,2001,1998
5160,1999,2001,1998
5165,1999,2005,1994
5170,1999,2000,1998
5175,1999,2001,1998
5180,1999,2001,1998
5185,1999,2001,1998
5190,1999,2001,1998
5195,1999,2001,1998
5200,1999,2001,1998
5205,1999,2005,1994
5210,1999,2000,1998
5215,1999,2001,1998
5220,1999,2001,1998
5225,1999,2001,1998
5230,1999,2001,1998
5235,1999,2001,1998
5240,1999,2001,1998
5245,1999,2001,1998
5250,1999,2001,1998
5255,1999,2001,1998
5260,1999,2001,1998
5265,1999,2005,1994
5270,1999,2000,1998
5275,1999,2001,1998
5280,1999,2001,1998
5285,1999,2001,1998
5290,1999,2001,1998
5295,1999,2001,1998
5300,1999,2001,1998
5305,1999,2001,1998
5310,1999,2001,1998
5315,1999,2001,1998
5320,1999,2001,1998
5325,1999,2001,1998
5330,1999,2001,1998
5335,1999,2001,1998
5340,1999,2001,1998
5345,1999,2001,1998
5350,1999,2001,1998
5355,1999,2001,1998
5360,1999,2001,1998
5365,1999,2001,1998
5370,1999,2001,1998
5375,1999,2001,1998
5380,1999,2001,1998
5385,1999,2001,1998
5390,1999,2001,1998
5395,1999,2001,1998
5400,1999,2001,1998
5405,1999,2001,1998
5410,1999,2001,1998
5415,1999,2001,1998
5420,1999,2001,1998
5425,1999,2001,1998
5430,1999,2001,1998
5435,1999,2001,1998
5440,1999,2001,1998
5445,1999,2001,1998
5450,1999,2001,1998
5455,1999,2001,1998
5460,1999,2001,1998
5465,1999,2001,1998
5470,1999,2001,1998
5475,1999,2001,1998
5480,1999,2001,1998
5485,1999,2001,1998
5490,1999,2001,1998
5495,1999,2001,1998
5500,999,1,1998
5505,999,287,1991
5510,999,450,1888
5515,999,616,1701
5520,999,741,1521
5525,999,827,1376
5530,999,882,1269
5535,999,928,1182
5540,999,945,1134
5545,999,960,1098
5550,999,973,1069
5555,999,981,1050
5560,999,986,1037
5565,999,989,1028
5570,999,991,1021
5575,999,994,1015
5580,999,996,1011
5585,999,997,1008
5590,999,999,1005
5595,999,998,1005
5600,999,997,1005
5605,999,1000,1002
5610,999,986,1015
5615,999,1001,1002
5620,999,1002,999
5625,999,1001,999
5630,999,1000,999
5635,999,1000,999
5640,999,1000,999
5645,999,1000,999
5650,999,1000,999
5655,999,1000,999
5660,999,1000,999
5665,999,1000,999
5670,999,999,999
5675,999,999,999
5680,999,999,999
5685,999,1003,995
5690,999,1003,995
5695,999,1003,995
5700,999,1003,995
5705,999,999,999
5710,999,1000,999
5715,999,1000,999
5720,999,1000,999
5725,999,1000,999
5730,999,1000,999
5735,999,1004,995
5740,999,1003,995
5745,999,999,999
5750,999,1000,999
5755,999,1000,999
5760,999,1000,999
5765,999,1000,999
5770,999,1000,999
5775,999,1000,999
5780,999,1003,995
5785,999,1003,995
5790,999,1003,995
5795,999,999,999
5800,999,1000,999
5805,999,1000,999
5810,999,1000,999
5815,999,1000,999
5820,999,999,999
5825,999,1003,995
5830,999,999,999
5835,999,999,999
5840,999,990,1008
5845,999,1005,995
5850,999,1003,995
5855,999,1003,995
5860,999,1003,995
5865,999,1003,995
5870,999,1003,995
5875,999,999,999
5880,999,1000,999
5885,999,1000,999
5890,999,1000,999
5895,999,1004,995
5900,999,1003,995
5905,999,999,999
5910,999,1000,999
5915,999,1000,999
5920,999,1000,999
5925,999,1003,995
5930,999,999,999
5935,999,999,999
5940,999,1003,995
5945,999,1003,995
5950,999,1003,995
5955,999,1003,995
5960,999,1003,995
5965,999,999,999
5970,999,1000,999
5975,999,1000,999
5980,999,1000,999
5985,999,1004,995
5990,999,1003,995
5995,999,999,999
6000,1999,3004,995
6005,1999,2717,1002
6010,1999,2554,1105
6015,1999,2388,1292
6020,1999,2263,1472
6025,1999,2178,1617
6030,1999,2119,1727
6035,1999,2083,1804
6040,1999,2059,1859
6045,1999,2042,1898
6050,1999,2029,1927
6055,1999,2021,1946
6060,1999,2016,1959
6065,1999,2012,1969
6070,1999,2011,1975
6075,1999,2008,1981
6080,1999,2006,1985
6085,1999,2005,1988
6090,1999,2006,1988
6095,1999,2004,1991
6100,1999,2002,1994
6105,1999,2003,1994
6110,1999,2003,1994
6115,1999,2003,1994
6120,1999,2003,1994
6125,1999,2004,1994
6130,1999,2004,1994
6135,1999,2000,1998
6140,1999,2001,1998
6145,1999,2001,1998
6150,1999,2001,1998
6155,1999,2001,1998
6160,1999,2005,1994
6165,1999,2004,1994
6170,1999,2000,1998
6175,1999,2014,1985
6180,1999,1999,1998
6185,1999,2001,1998
6190,1999,2001,1998
6195,1999,2001,1998
6200,1999,2001,1998
6205,1999,2001,1998
6210,1999,2001,1998
6215,1999,2001,1998
6220,1999,2001,1998
6225,1999,2001,1998
6230,1999,2001,1998
6235,1999,2001,1998
6240,1999,2001,1998
6245,1999,2001,1998
6250,1999,2001,1998
6255,1999,2001,1998
6260,1999,2001,1998
6265,1999,2001,1998
6270,1999,2001,1998
6275,1999,2001,1998
6280,1999,2001,1998
6285,1999,2001,1998
6290,1999,2001,1998
6295,1999,2001,1998
