time,input,pid,output
2905,1000,1000,995
2910,1000,1000,995
2915,1000,1000,995
2920,1000,1000,995
2925,1000,1000,995
2930,1000,1000,999
2935,1000,1000,999
2940,1000,1000,995
2945,1000,1000,995
2950,1000,1000,995
2955,1000,1000,999
2960,1000,1000,995
2965,1000,1000,995
2970,1000,1000,995
2975,1000,1000,995
2980,1000,1000,995
2985,1000,1000,995
2990,1000,1000,995
2995,1000,1000,995
3000,2000,2000,999
3005,2000,2000,1050
3010,2000,2000,1153
3015,2000,2000,1260
3020,2000,2000,1359
3025,2000,2000,1450
3030,2000,2000,1527
3035,2000,2000,1595
3040,2000,2000,1653
3045,2000,2000,1701
3050,2000,2000,1743
3055,2000,2000,1782
3060,2000,2000,1811
3065,2000,2000,1836
3070,2000,2000,1859
3075,2000,2000,1878
3080,2000,2000,1894
3085,2000,2000,1911
3090,2000,2000,1930
3095,2000,2000,1933
3100,2000,2000,1940
3105,2000,2000,1946
3110,2000,2000,1956
3115,2000,2000,1959
3120,2000,2000,1965
3125,2000,2000,1969
3130,2000,2000,1972
3135,2000,2000,1975
3140,2000,2000,1978
3145,2000,2000,1981
3150,2000,2000,1981
3155,2000,2000,1985
3160,2000,2000,1988
3165,2000,2000,1988
3170,2000,2000,1988
3175,2000,2000,1991
3180,2000,2000,1991
3185,2000,2000,1991
3190,2000,2000,1991
3195,2000,2000,1991
3200,2000,2000,1991
3205,2000,2000,1994
3210,2000,2000,1994
3215,2000,2000,1994
3220,2000,2000,1994
3225,2000,2000,1994
3230,2000,2000,1994
3235,2000,2000,1994
3240,2000,2000,1994
3245,2000,2000,1998
3250,2000,2000,1994
3255,2000,2000,1994
3260,2000,2000,1994
3265,2000,2000,1994
3270,2000,2000,1994
3275,2000,2000,1998
3280,2000,2000,1998
3285,2000,2000,1994
3290,2000,2000,1998
3295,2000,2000,1994
3300,2000,2000,1998
3305,2000,2000,1998
3310,2000,2000,1994
3315,2000,2000,1994
3320,2000,2000,1998
3325,2000,2000,1998
3330,2000,2000,1998
3335,2000,2000,1998
3340,2000,2000,1998
3345,2000,2000,1998
3350,2000,2000,1998
3355,2000,2000,1998
3360,2000,2000,1998
3365,2000,2000,1998
3370,2000,2000,1998
3375,2000,2000,1998
3380,2000,2000,1998
3385,2000,2000,1998
3390,2000,2000,1998
3395,2000,2000,1998
3400,2000,2000,1998
